CODE,ORIGINAL ARTIST,SONG TITLE
13809,8 BALL,BERTAHAN HIDUP
279,,BE FREE
18185,,THE GUIDING LIGHTS
13376,,RINDU MAMA
2197,KOES PLUS,KEMANA
16292,,TERBUAI ASMARA
13750,,MMM PENGEN
29,,BAHASA CINTA
17708,,KEHATIMU SELAMANYA
11638,,IDK HOW TO FALL
2457,KOES PLUS,TARI SELENDANG
14238,ABEL HURAY,MAIN THEME FROM 13 BOM DI JAKARTA
6622,STRANGERS,TANGISAN IBU PERTIWI
9400,HINDIA,TIDAK ADA SALJU DI SINI PT 4
14892,MIKHA TAMBAYONG,INI INDONESIA
18020,,PANGGIL AKU SAYANG
14691,GLENN FREDLY,TANDA MATA
735,,DUSTA
1666,NAFF,DIA KEKASIHKU
11479,,PUJA PAU SEN TA TI / PAU SEN TA TI SUNG KE
12517,ARI PRAMUNDITO,KARENAMU
14513,,TUJUH BELAS JUNI
6285,,LINGSO TRISNO
8680,,GADIS BERGELANG EMAS
13645,,ORA NITIK
12035,,GANJAR DI HATI
1643,,A.N.G
2806,,MADJANG
13719,8 BALL,WARTEG (WARGA TEGAR)
11322,DANIEL TANDIROGANG,SAMARI PUANG
2199,KOES PLUS,SENDIRI DAN RAHASIA
1466,,BIDADARI JIWA
8228,,JANGAN KAU SIKSA
15392,,JANJIKU
2420,,RASA SEDIH TIADA ARTI
1672,,SEKALI LAGI (MELATI)
3915,,THE LAND OF MAJENE
9053,,BERNAPAS DENGANKU
6119,,BY THE BOOK
13172,"ALSA, CHRIS ANDRIAN YANG",INEVITABLE
2410,,SENANG-SENANG BERGEMBIRA
13793,8 BALL,DITES VOTRE AMOUR
9102,,BINTANG YANG BERSINAR
8712,JANUARY CHRISTY,KERETA
8975,,ONE LAST DANCE
2730,,AKHIR WAKTU
11112,DIOSDU,WHERE IS YOUR HEART
3001,,DIAM TAK BICARA
8984,DIDIT SAAD,HONESTLY I DONT
763,,GENERASIKU
14038,SOEGI BORNEAN,ASMALIBRASI
3329,,KPK (KEMBALILAH PADA KEKASIHMU)
13761,8 BALL,SENSUAL IMITASI
2962,,BRIGHT AS THE SUN
8723,,BUATKU KAU TERBAIK
13979,,LAWAN PENJAHAT KORUPSI
18340,HENKIE SAHURILLA,KASIHNYA
14812,AINAN TASNEEM,SETENGAH HATI
2206,,LOMPAT KATAK
17081,,JYADA JACHDI
697,,MENGENANGMU
5670,,BUKU HARIAN SEORANG GADIS
17500,CLOSURE,COLDROOM
17058,,BANGSAKU INDONESIA
16949,MOMONON,WE ARE BROTHER
6204,,LINDU
180,NAIF,LAGU WANITA
11297,,DILANDI OMO KADADIANNA
9318,SASYA ARKHISNA,TATANAN ATI
2208,KOES PLUS,ADIK PANDAI BERJALAN
6610,DIDI KEMPOT,NGANTI KURU
4681,,BERSAMA
7931,,AIR TRAILS (CHILL VERSION)
12294,,AKU MEMANGGIL
13460,JUSTY ALDRIN & RINA SAINYAKIT,DUA RAJA SATU HATI
18541,THE SKIBERS,LAURIE WEBB
16599,,SPASI
16327,ADA BAND,JALAN HIDUPKU
11100,,TETAPLAH TERLELAP
4945,LOTUS FROM JAKARTA,SECRET INVASION
12405,APE ON THE ROOF,RISE
7348,,VIVA RRQ
15138,,BINI TUA
14734,,KOMODO SUNSET
4901,"HAPPY ASMARA, RAY SHARIR",RASA YANG SALAH
6901,,KURSANG
918,ARSHA COMPOSER,SELAMAT BERBAHAGIA DENGANNYA
3087,MAIZURA,AKU TANPAMU
13656,,EMAN TENAN
12156,RIZKY FEBIAN,BERONA
10036,CYA,JBAML (JANGAN BUAT AKU MENUNGGU LAMA)
13630,,HATI SO LELAH
1601,,BILA KAU PERGI NANTI
13598,,KLANGENANKU
3094,,TATTOOED LOVE
3775,ASTERISKA,YOU
16266,,YOU LOOK SO BEAUTIFUL
15406,,GANDONG
932,,TEMPTATION
17181,,NINA BOBO
7552,,PELANGI SEMU
14949,,OVERTHINKING
10794,NADA TAO,BATU GIOK PERLU DIASAH / YI PU CUOK PU JEN JI
3827,ANDREA MIRANDA FEAT TEZA SUMENDRA,SAMA
10025,,SOROP E SERENG
4607,MOMONON,TEH DINGIN
4004,KELOMPOK PENERBANG ROKET,EKSPEDISI 69
1260,,TUHAN TIDAK TIDUR
10401,,TERANG KEMBALI
7290,,C.H.R.I.S.Y.E
11525,DAMAR MURUP,ROSO PANGROSO ( SINOM SASTRO GENDHING )
1525,,HABIS 1+1
12430,,HAVE YOU TRY?
18332,BRIGITA TAN,MATI RASA
15628,,TENTANG KAMU
14385,,TANPA HADIRMU
11493,NADA TAO,NYANYIAN KWAN KONG / KWAN SEN MIAU CE KE
